time,instrument,name,tf,direction,hour,session,score,signals,signal_count,result,rr,hold_bars,phase
2025-11-26T10:00:00.000000000Z,EUR_USD,EUR/USD,H4,SHORT,10,LONDON,95,"TREND_CONT,ENGULF,STOCH_CROSS,LIQ_SWEEP",4,LOSS,-1.0,1,TRAIN
2025-12-17T14:00:00.000000000Z,EUR_USD,EUR/USD,H4,LONG,14,OVERLAP,90,"TREND_CONT,ENGULF,STOCH_CROSS,LIQ_SWEEP",4,LOSS,-1.0,10,TRAIN
2025-12-19T14:00:00.000000000Z,EUR_USD,EUR/USD,H4,LONG,14,OVERLAP,80,"TREND_CONT,STOCH_CROSS,LIQ_SWEEP",3,WIN,2.5,8,TRAIN
2025-12-31T14:00:00.000000000Z,EUR_USD,EUR/USD,H4,LONG,14,OVERLAP,80,"TREND_CONT,ENGULF,LIQ_SWEEP",3,LOSS,-1.0,4,TRAIN
2026-01-26T10:00:00.000000000Z,EUR_USD,EUR/USD,H4,LONG,10,LONDON,80,"ASIAN_BREAK,RETEST,EMA_RIBBON",3,WIN,2.5,7,TRAIN
2026-02-02T10:00:00.000000000Z,EUR_USD,EUR/USD,H4,LONG,10,LONDON,95,"TREND_CONT,RSI_DIV,STOCH_CROSS,LIQ_SWEEP",4,LOSS,-1.0,1,TEST
2026-02-17T10:00:00.000000000Z,EUR_USD,EUR/USD,H4,LONG,10,LONDON,85,"TREND_CONT,RSI_DIV,LIQ_SWEEP",3,LOSS,-1.0,1,TEST
2026-03-09T09:00:00.000000000Z,EUR_USD,EUR/USD,H4,SHORT,9,LONDON,75,"LONDON_BREAK,ASIAN_BREAK,RETEST",3,LOSS,-1.0,1,TEST
2026-03-10T13:00:00.000000000Z,EUR_USD,EUR/USD,H4,SHORT,13,OVERLAP,80,"TREND_CONT,STOCH_CROSS,LIQ_SWEEP",3,WIN,2.5,12,TEST
2026-03-18T09:00:00.000000000Z,EUR_USD,EUR/USD,H4,SHORT,9,LONDON,85,"TREND_CONT,STOCH_CROSS,LIQ_SWEEP",3,WIN,2.5,2,TEST
2025-12-31T14:00:00.000000000Z,GBP_USD,GBP/USD,H4,LONG,14,OVERLAP,90,"TREND_CONT,RSI_DIV,STOCH_CROSS,LIQ_SWEEP",4,LOSS,-1.0,9,TRAIN
2026-01-09T14:00:00.000000000Z,GBP_USD,GBP/USD,H4,LONG,14,OVERLAP,99,"TREND_CONT,RSI_DIV,ENGULF,LIQ_SWEEP",4,LOSS,-1.0,1,TRAIN
2026-01-12T10:00:00.000000000Z,GBP_USD,GBP/USD,H4,LONG,10,LONDON,70,"ASIAN_BREAK,TREND_CONT,VWAP",3,LOSS,-1.0,8,TRAIN
2026-01-26T10:00:00.000000000Z,GBP_USD,GBP/USD,H4,LONG,10,LONDON,75,"ASIAN_BREAK,RETEST,EMA_RIBBON",3,WIN,2.5,7,TRAIN
2026-02-02T10:00:00.000000000Z,GBP_USD,GBP/USD,H4,LONG,10,LONDON,85,"TREND_CONT,STOCH_CROSS,LIQ_SWEEP",3,LOSS,-1.0,1,TEST
2026-02-13T10:00:00.000000000Z,GBP_USD,GBP/USD,H4,LONG,10,LONDON,90,"TREND_CONT,ENGULF,STOCH_CROSS,LIQ_SWEEP",4,LOSS,-1.0,11,TEST
2026-02-16T10:00:00.000000000Z,GBP_USD,GBP/USD,H4,LONG,10,LONDON,80,"EMA_CROSS,TREND_CONT,VWAP,ENGULF",4,LOSS,-1.0,3,TEST
2026-03-11T09:00:00.000000000Z,GBP_USD,GBP/USD,H4,SHORT,9,LONDON,75,"TREND_CONT,ENGULF,STOCH_CROSS",3,WIN,2.5,11,TEST
